energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,sarima,2024-01,6,2024-07,127.2,125.2839,-1.9161,1.9161,-1.5064,1.5178,"{""order"": [2, 1, 0], ""seasonal_order"": [1, 1, 0, 12], ""label"": ""(2,1,0)x(1,1,0)[12]"", ""aic"": 174.6398, ""n_failures"": 4}"
electricity,constant,2024-01,12,2025-01,124.8,129.4,4.6,4.6,3.6859,3.6192,"{""last_value"": 129.4}"
electricity,deterministic_trend,2024-01,12,2025-01,124.8,133.282,8.482,8.482,6.7965,6.5731,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 129.4}"
electricity,ets,2024-01,12,2025-01,124.8,120.9524,-3.8476,3.8476,-3.083,3.1313,"{""selected_config"": ""Ad,A"", ""aic"": 105.2059, ""n_failures"": 0}"
electricity,sarima,2024-01,12,2025-01,124.8,147.4671,22.6671,22.6671,18.1627,16.6506,"{""order"": [2, 1, 0], ""seasonal_order"": [1, 1, 0, 12], ""label"": ""(2,1,0)x(1,1,0)[12]"", ""aic"": 174.6398, ""n_failures"": 4}"
electricity,constant,2024-02,1,2024-03,127.5,128.6,1.1,1.1,0.8627,0.859,"{""last_value"": 128.6}"
electricity,deterministic_trend,2024-02,1,2024-03,127.5,128.9172,1.4172,1.4172,1.1115,1.1054,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 128.6}"
electricity,ets,2024-02,1,2024-03,127.5,127.5504,0.0504,0.0504,0.0395,0.0395,"{""selected_config"": ""Ad,A"", ""aic"": 105.5127, ""n_failures"": 0}"
electricity,sarima,2024-02,1,2024-03,127.5,130.4153,2.9153,2.9153,2.2865,2.2607,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 173.5192, ""n_failures"": 0}"
electricity,constant,2024-02,3,2024-05,127.6,128.6,1.0,1.0,0.7837,0.7806,"{""last_value"": 128.6}"
electricity,deterministic_trend,2024-02,3,2024-05,127.6,129.5538,1.9538,1.9538,1.5312,1.5196,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 128.6}"
electricity,ets,2024-02,3,2024-05,127.6,125.3247,-2.2753,2.2753,-1.7831,1.7992,"{""selected_config"": ""Ad,A"", ""aic"": 105.5127, ""n_failures"": 0}"
